"record_id","title","abstract","record_type_raw","year","language","location"
"SYN-011","Thermal comfort and occupant satisfaction in naturally ventilated office buildings in Cairo","Indoor temperature, humidity and air velocity were measured in 12 naturally ventilated office buildings across a summer season, alongside occupant comfort surveys. Adaptive comfort models underestimated acceptable indoor temperatures in this setting. Recommendations for design standards are provided.","Journal article","2026","English","Cairo, Egypt"
"SYN-012","RETRACTED: Ambient temperature and stroke admissions in Lagos, 2018-2023","RETRACTED ARTICLE. This article has been retracted at the request of the editors following an institutional investigation that identified irregularities in the admission dataset used in the analysis. The original abstract reported a strong association between daily maximum temperature and ischaemic stroke admissions at four Lagos hospitals.","Journal article (retracted)","2026","English","Lagos, Nigeria"
"SYN-013","Ten-year evaluation of the Ahmedabad Heat Action Plan: mortality impact and implementation lessons","We evaluated mortality outcomes over ten years following implementation of a municipal heat action plan, using a difference-in-differences design against comparison cities. Estimated avoided deaths were substantial and sustained. Implementation barriers and adaptation of the early warning threshold are described in detail.","Journal article","2026","English","Ahmedabad, India"
"SYN-014","Cool roof coatings and indoor heat exposure in Cape Town informal settlements: a cluster-randomised trial","Ninety-six dwelling clusters in two informal settlements were randomised to reflective roof coating or usual conditions. Indoor maximum temperature during the hot season was the primary outcome. Coated dwellings recorded lower indoor peak temperatures and residents reported fewer heat-disturbed nights. This is the first randomised evaluation of the intervention in an African setting.","Journal article","2026","English","Cape Town, South Africa"
"SYN-015","Daily temperature and cardiovascular mortality in Alexandria","Cardiovascular mortality records from 2012 to 2024 were analysed against daily temperature using distributed lag models. A J-shaped exposure-response relationship was observed, with elevated risk above the 85th percentile of temperature and among adults over 65.","Journal article","2026","English","Alexandria, Egypt"
"SYN-016","Heat exposure and adverse birth outcomes in Kampala: protocol for a prospective cohort study","This protocol describes a planned prospective cohort of 4,000 pregnancies in Kampala, linking personal heat exposure monitoring to birth outcomes. Primary outcomes are preterm birth and low birthweight. Recruitment is scheduled to begin in early 2027. No results are reported here.","Study protocol","2026","English","Kampala, Uganda"
"SYN-017","How households cope with extreme heat in Nairobi informal settlements: a qualitative study","We conducted 48 in-depth interviews and six focus groups with residents of two informal settlements. Participants described sleeping outdoors, wetting bedding, and rescheduling income-generating work. Cost and landlord permission were the dominant barriers to structural adaptation.","Journal article","2026","English","Nairobi, Kenya"
"SYN-018","Emergency department attendance during heat events in Durban","Attendance records from three Durban emergency departments across six hot seasons were linked to daily temperature. Total attendance rose modestly during declared heat events, driven mainly by dehydration and cardiovascular presentations. Findings are consistent with earlier South African reports.","Journal article","2026","English","Durban, South Africa"
"SYN-019","PREPRINT: Heatwaves and all-cause mortality in Johannesburg, 2009-2024","PREPRINT, NOT PEER REVIEWED. Daily all-cause mortality for Johannesburg over a fifteen-year period was analysed using distributed lag non-linear models. Heatwave days showed elevated same-day and lagged mortality, consistent with previous South African analyses.","Preprint","2026","English","Johannesburg, South Africa"
"SYN-020","Ambient temperature and all-cause mortality in Addis Ababa","Mortality registration data for Addis Ababa from 2014 to 2024 were analysed against daily temperature. Elevated mortality was observed at high temperatures, with a lag structure comparable to that reported in other East African cities.","Journal article","2026","English","Addis Ababa, Ethiopia"
"SYN-021","Evaluation of a municipal heat early warning system in Ouagadougou","A heat early warning system was introduced in 2023 with SMS alerts, radio broadcasts and community health worker activation. We evaluated alert coverage, household response and heat-related clinic presentations across two hot seasons using an interrupted time-series design. Clinic presentations declined following implementation.","Journal article","2026","English","Ouagadougou, Burkina Faso"
"SYN-022","Adverse events associated with community cooling centre use during heat events in eThekwini","Following the rollout of 14 municipal cooling centres, we reviewed incidents recorded over two hot seasons. We identified clusters of gastrointestinal illness linked to shared water dispensers at four sites, and three falls among older attendees on wet flooring. Cooling centre design guidance requires revision before further scale-up.","Journal article","2026","English","eThekwini, South Africa"
"SYN-023","Vagues de chaleur et mortalite infantile a Dakar: une analyse de series temporelles","Nous avons analyse les deces infantiles enregistres a Dakar entre 2015 et 2025 en relation avec les temperatures journalieres. Les journees de forte chaleur etaient associees a une mortalite infantile accrue, avec un effet plus marque pendant la saison seche. Aucune etude anterieure n a examine cette association en Afrique de l Ouest.","Journal article","2026","French","Dakar, Senegal"
"SYN-024","Wearable monitoring of heat strain among informal waste workers in Kigali","Thirty-eight informal waste workers wore chest-mounted sensors for ten working days during the hot season. Sustained elevations in physiological strain were recorded during afternoon collection rounds. Feasibility, device tolerance and data completeness are reported.","Journal article","2026","English","Kigali, Rwanda"
"SYN-025","Cold exposure and acute respiratory infection in highland Lesotho households","Indoor temperature was monitored in 210 highland households across a winter season alongside weekly respiratory symptom reporting. Lower indoor overnight temperature was associated with increased incidence of acute respiratory infection in children under five.","Journal article","2026","English","Highland Lesotho"
"SYN-026","Heat exposure and mortality worldwide: an updated systematic review and meta-analysis","We searched five databases to March 2026 and included 214 studies reporting associations between ambient heat and mortality. Pooled estimates are presented by region, age group and cause of death. African studies contributed 6% of included estimates.","Systematic review","2026","English","Global"
"SYN-027","Heat and health in African cities: time to move from evidence to action","African cities face escalating heat risk with the thinnest evidence base of any world region. In this commentary we argue that the research community has over-invested in describing the problem and under-invested in evaluating responses. We call for a coordinated programme of intervention trials.","Commentary","2026","English","Africa"
"SYN-028","Cool roof coatings in Cape Town informal settlements: secondary outcomes and cost analysis","This paper reports secondary outcomes from a cluster-randomised trial of reflective roof coatings in two Cape Town informal settlements. Self-reported sleep quality, clinic attendance and installation cost per dwelling are presented. Primary indoor temperature results are reported elsewhere.","Journal article","2026","English","Cape Town, South Africa"
"SYN-029","Ambient temperature and childhood diarrhoeal admissions in Maputo","Paediatric diarrhoeal admissions at two Maputo hospitals from 2016 to 2025 were linked to daily temperature and rainfall. Admissions increased following periods of elevated temperature, with the association strongest in children under two years.","Journal article","2026","English","Maputo, Mozambique"
"SYN-030","Urban green space access and physical activity among adults in Accra","A cross-sectional survey of 1,450 adults assessed proximity to public green space and self-reported physical activity. Residents living within 500 metres of accessible green space reported higher weekly activity levels. Implications for urban planning are discussed.","Journal article","2026","English","Accra, Ghana"
"SYN-031","Heat events and mental health service attendance in Lusaka [conference abstract]","CONFERENCE ABSTRACT ONLY. We examined attendance at mental health services in Lusaka during declared heat events over two seasons. Attendance appeared elevated during heat events. Full methods, effect estimates and confidence intervals were not available at the time of submission.","Conference abstract","2026","English","Lusaka, Zambia"
"SYN-032","Shade structures in school playgrounds and pupil heat exposure in Bulawayo: a pilot study","Shade sails were installed at four primary schools and compared with four matched schools without shade. Playground temperature and pupil-reported heat discomfort were measured over one term. Shaded schools recorded lower playground temperatures and fewer reported heat symptoms. Sample size was small and the study was not randomised.","Journal article","2026","English","Bulawayo, Zimbabwe"
"SYN-033","Heat exposure and pregnancy outcomes among subsistence farmers in rural Burkina Faso","We followed 890 pregnancies in rural farming communities, linking daily agricultural workload and ambient temperature to birth outcomes. Working in the highest temperature tertile during the third trimester was associated with lower birthweight. All participants resided in rural districts.","Journal article","2026","English","Rural Burkina Faso"
"SYN-034","Daily temperature and all-cause mortality in Lagos: an 11-year analysis","Mortality records from Lagos State covering 2014 to 2025 were analysed against daily temperature using case-crossover methods. Elevated mortality was observed above the 92nd temperature percentile. This is the largest West African analysis of heat and mortality to date, a region contributing few previous estimates.","Journal article","2026","English","Lagos, Nigeria"
